p	 z	 k	 oflops	 bflops	 correct
0	 16	 32	 5.576	 0.299	 1
0	 16	 64	 5.902	 0.311	 1
0	 16	 96	 6.195	 0.317	 1
0	 16	 128	 6.318	 0.314	 1
0	 16	 160	 6.613	 0.309	 1
0	 16	 192	 6.767	 0.307	 1
0	 16	 224	 7.064	 0.321	 1
0	 16	 256	 6.832	 0.316	 1
0	 16	 288	 6.525	 0.306	 1
0	 16	 320	 5.440	 0.317	 1
0	 16	 352	 4.604	 0.316	 1
0	 16	 384	 3.938	 0.315	 1
0	 16	 416	 3.532	 0.304	 1
0	 16	 448	 3.659	 0.314	 1
0	 16	 480	 3.439	 0.310	 1
0	 16	 512	 3.555	 0.315	 1
0	 16	 32	 5.572	 0.297	 1
0	 16	 64	 5.278	 0.298	 1
0	 16	 96	 5.732	 0.296	 1
0	 16	 128	 6.678	 0.306	 1
0	 16	 160	 7.125	 0.316	 1
0	 16	 192	 7.219	 0.312	 1
0	 16	 224	 6.971	 0.301	 1
0	 16	 256	 6.975	 0.307	 1
0	 16	 288	 6.978	 0.313	 1
0	 16	 320	 5.413	 0.314	 1
0	 16	 352	 4.599	 0.318	 1
0	 16	 384	 4.001	 0.317	 1
0	 16	 416	 3.575	 0.310	 1
0	 16	 448	 3.609	 0.315	 1
0	 16	 480	 3.411	 0.314	 1
0	 16	 512	 3.539	 0.317	 1
