p	 z	 k	 oflops	 bflops	 correct
0	 16	 32	 4.214	 0.269	 1
0	 16	 64	 3.880	 0.263	 1
0	 16	 96	 3.989	 0.270	 1
0	 16	 128	 4.420	 0.268	 1
0	 16	 160	 4.695	 0.272	 1
0	 16	 192	 4.718	 0.262	 1
0	 16	 224	 4.791	 0.260	 1
0	 16	 256	 5.016	 0.259	 1
0	 16	 288	 5.248	 0.270	 1
0	 16	 320	 4.404	 0.263	 1
0	 16	 352	 3.657	 0.267	 1
0	 16	 384	 3.361	 0.276	 1
0	 16	 416	 3.033	 0.280	 1
0	 16	 448	 3.141	 0.280	 1
0	 16	 480	 2.964	 0.276	 1
0	 16	 512	 2.933	 0.260	 1
0	 16	 32	 4.391	 0.281	 1
0	 16	 64	 3.714	 0.302	 1
0	 16	 96	 4.696	 0.304	 1
0	 16	 128	 4.591	 0.297	 1
0	 16	 160	 4.656	 0.294	 1
0	 16	 192	 4.546	 0.284	 1
0	 16	 224	 5.524	 0.300	 1
0	 16	 256	 5.537	 0.303	 1
0	 16	 288	 5.667	 0.300	 1
0	 16	 320	 4.938	 0.306	 1
0	 16	 352	 4.342	 0.305	 1
0	 16	 384	 3.645	 0.294	 1
0	 16	 416	 3.313	 0.308	 1
0	 16	 448	 3.343	 0.304	 1
0	 16	 480	 3.171	 0.302	 1
0	 16	 512	 3.242	 0.296	 1
0	 16	 32	 4.883	 0.309	 1
0	 16	 64	 4.377	 0.289	 1
0	 16	 96	 5.068	 0.293	 1
0	 16	 128	 5.645	 0.306	 1
0	 16	 160	 6.007	 0.316	 1
0	 16	 192	 5.807	 0.315	 1
0	 16	 224	 6.076	 0.306	 1
0	 16	 256	 6.209	 0.312	 1
0	 16	 288	 6.040	 0.304	 1
0	 16	 320	 5.225	 0.310	 1
0	 16	 352	 4.234	 0.308	 1
0	 16	 384	 3.974	 0.320	 1
0	 16	 416	 3.598	 0.318	 1
0	 16	 448	 3.686	 0.319	 1
0	 16	 480	 3.442	 0.317	 1
0	 16	 512	 3.595	 0.323	 1
0	 16	 32	 4.236	 0.270	 1
0	 16	 64	 3.913	 0.280	 1
0	 16	 96	 4.114	 0.290	 1
0	 16	 128	 4.781	 0.317	 1
0	 16	 160	 5.212	 0.321	 1
0	 16	 192	 5.053	 0.305	 1
0	 16	 224	 5.621	 0.312	 1
0	 16	 256	 5.915	 0.322	 1
0	 16	 288	 5.688	 0.322	 1
0	 16	 320	 4.829	 0.305	 1
0	 16	 352	 4.076	 0.309	 1
0	 16	 384	 3.575	 0.297	 1
0	 16	 416	 3.265	 0.299	 1
0	 16	 448	 3.130	 0.283	 1
0	 16	 480	 3.003	 0.291	 1
0	 16	 512	 3.340	 0.307	 1
0	 16	 32	 4.218	 0.271	 1
0	 16	 64	 3.731	 0.285	 1
0	 16	 96	 4.296	 0.303	 1
0	 16	 128	 5.117	 0.308	 1
0	 16	 160	 5.366	 0.306	 1
0	 16	 192	 5.142	 0.305	 1
0	 16	 224	 5.565	 0.308	 1
0	 16	 256	 5.629	 0.309	 1
0	 16	 288	 5.859	 0.305	 1
0	 16	 320	 4.819	 0.310	 1
0	 16	 352	 4.013	 0.307	 1
0	 16	 384	 3.727	 0.310	 1
0	 16	 416	 3.387	 0.311	 1
0	 16	 448	 3.482	 0.308	 1
0	 16	 480	 3.293	 0.301	 1
0	 16	 512	 3.355	 0.305	 1
0	 16	 32	 4.495	 0.288	 1
0	 16	 64	 4.096	 0.294	 1
0	 16	 96	 4.838	 0.294	 1
0	 16	 128	 4.859	 0.295	 1
0	 16	 160	 5.240	 0.281	 1
0	 16	 192	 5.331	 0.299	 1
0	 16	 224	 5.463	 0.285	 1
0	 16	 256	 5.822	 0.297	 1
0	 16	 288	 5.729	 0.331	 1
0	 16	 320	 5.151	 0.328	 1
0	 16	 352	 4.128	 0.312	 1
0	 16	 384	 3.830	 0.315	 1
0	 16	 416	 3.524	 0.325	 1
0	 16	 448	 3.538	 0.322	 1
0	 16	 480	 3.451	 0.319	 1
0	 16	 512	 3.650	 0.324	 1
